,length,nb_contigs,nb_proteins,coding_density,GC,completeness,contamination,taxo:checkm,strain_heterogeneity
Uppsala_1_megahit_metabat_bin-4228,45206,16,51,0.8035216564172898,0.46843339379728355,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3507,20665,6,11,0.4503266392451004,0.5069924993951125,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4866,10500,5,13,0.2611428571428571,0.49752380952380953,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2648,61950,17,65,0.8068765133171912,0.44403551251008877,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3589,10080,3,10,0.29642857142857143,0.5802579365079366,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-5141,104610,30,197,0.8133065672497849,0.43414587515533887,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1467,24037,6,29,0.6737113616507884,0.6891042975412905,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-5482,139367,24,139,0.8017321173592027,0.2396550115881091,3.12,0.0,k__Bacteria,0.0
Uppsala_1_megahit_metabat_bin-6295,10754,3,17,0.732843593081644,0.515250139482983,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-0237,10232,3,15,0.7614347146207975,0.5960711493354183,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-5175,31894,13,23,0.5641813507242741,0.41010848435442404,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1731,12081,7,12,0.7598708716165881,0.7018458736859532,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-6941,22171,3,27,0.8226963150060891,0.574940237246854,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1022,13038,4,17,0.7984353428439944,0.5413406964258322,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2201,124851,54,91,0.5563591801427301,0.48882267663054363,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-0338,18605,1,32,0.917495296963182,0.4604138672399892,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-6809,17554,8,16,0.5501310242679731,0.38327446735786713,0.29,0.0,k__Archaea,0.0
Uppsala_1_megahit_metabat_bin-2868,25127,6,27,0.7023918494050225,0.6428543001552115,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4316,14319,3,15,0.7661847894406034,0.46546546546546547,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-6981,123300,28,138,0.8207542579075425,0.4394160583941606,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2925,14733,7,16,0.6691101608633679,0.5429308355392656,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1370,126067,27,93,0.7220684239333053,0.36474255752893303,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-0545,10917,2,3,0.8219291014014839,0.48685536319501693,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3028,39298,17,38,0.7362970125706143,0.4517278232988956,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4047,35506,7,38,0.8153551512420436,0.46192192868810905,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4212,14809,7,29,0.6271861705719495,0.411371463299345,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2833,18480,8,17,0.636525974025974,0.5725108225108225,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1427,47841,13,70,0.7896783093998871,0.3596078677285174,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4516,10999,4,11,0.7568869897263387,0.45495045004091283,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-0250,3303170,532,2878,0.8133159964518932,0.5294571578211233,90.46,1.1,k__Bacteria,100.0
Uppsala_1_megahit_metabat_bin-0576,11403,2,16,0.9631675874769797,0.32903621853898096,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3596,25315,6,23,0.7285798933438673,0.4476002370136283,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1039,10684,2,10,0.9145451141894422,0.4757581430175964,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2100,25433,4,41,0.8654503990877993,0.6294577910588606,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2505,10955,3,4,0.705705157462346,0.38950251026928345,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-5555,22568,7,16,0.755450194966324,0.36347926267281105,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3371,21772,8,20,0.6856512952415947,0.33428256476207974,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-6481,10445,1,12,0.9636189564384873,0.5148875059837242,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-6127,36556,7,58,0.9004267425320057,0.3450049239522924,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-7170,12439,5,14,0.25468285231931825,0.39786156443444004,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-2039,14063,3,13,0.888075090663443,0.551375951077295,0.47,0.0,k__Bacteria,0.0
Uppsala_1_megahit_metabat_bin-5841,22157,9,25,0.5131561131922192,0.4170239653382678,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-0449,11486,1,23,0.7812119101514887,0.4841546230193279,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3362,16874,3,32,0.8496503496503497,0.5999762948915491,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4991,24969,13,30,0.2968881412952061,0.43205574912891986,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-4622,18956,4,15,0.8813568263346697,0.32902511078286556,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-3502,54534,3,110,0.8934976345032457,0.42182858400264056,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-0419,202895,86,203,0.6847827694127504,0.5251090465511717,4.31,0.0,k__Bacteria,0.0
Uppsala_1_megahit_metabat_bin-3851,33137,2,47,0.8919334882457676,0.6367806379575701,0.0,0.0,root,0.0
Uppsala_1_megahit_metabat_bin-1290,43825,13,60,0.7338277239018824,0.621061038220194,0.0,0.0,root,0.0
