,length,nb_contigs,nb_proteins,coding_density,GC,completeness,contamination,taxo:checkm,strain_heterogeneity
platen_megahit_metabat_bin-3110,10501,3,15,0.8510618036377487,0.40662794019617177,0.0,0.0,root,0.0
platen_megahit_metabat_bin-3595,35206,12,35,0.7515764358348009,0.3236380162472306,0.0,0.0,root,0.0
platen_megahit_metabat_bin-3729,1276410,251,1264,0.8303217618163443,0.47392138889541763,79.88,7.59,o__Actinomycetales,72.73
platen_megahit_metabat_bin-8744,110331,27,93,0.7299399080947331,0.37795361231204283,0.0,0.0,root,0.0
platen_megahit_metabat_bin-0073,33857,13,39,0.5728505183566175,0.3801577221844818,0.0,0.0,root,0.0
platen_megahit_metabat_bin-1015,10455,1,11,0.7733142037302726,0.4835007173601148,0.0,0.0,root,0.0
platen_megahit_metabat_bin-3679,52711,20,42,0.5749464058735368,0.5368518904972397,0.0,0.0,root,0.0
platen_megahit_metabat_bin-1389,36560,3,57,0.9196936542669584,0.4666028446389497,0.0,0.0,root,0.0
platen_megahit_metabat_bin-4962,10242,3,14,0.7727006444053895,0.4204256981058387,0.0,0.0,root,0.0
platen_megahit_metabat_bin-1005,17025,7,24,0.7344493392070485,0.7088399412628488,0.0,0.0,root,0.0
platen_megahit_metabat_bin-8137,39795,13,40,0.7479080286468149,0.5858524940319135,0.0,0.0,root,0.0
platen_megahit_metabat_bin-8325,29135,3,24,0.850832332246439,0.44448258108803845,0.0,0.0,root,0.0
platen_megahit_metabat_bin-0361,12047,3,22,0.4469992529260397,0.365153150161866,0.0,0.0,root,0.0
platen_megahit_metabat_bin-6955,17258,3,12,0.8608181712828833,0.34111716305481515,0.0,0.0,root,0.0
platen_megahit_metabat_bin-5562,14955,3,13,0.6744232698094282,0.5408893346706787,0.0,0.0,root,0.0
platen_megahit_metabat_bin-4572,18815,10,16,0.4121711400478342,0.5548764283816104,0.0,0.0,root,0.0
platen_megahit_metabat_bin-6545,176919,22,213,0.875671917657233,0.31459594503699434,0.0,0.0,root,0.0
platen_megahit_metabat_bin-3331,14852,1,15,0.9146242930245085,0.44842445461890656,0.0,0.0,root,0.0
platen_megahit_metabat_bin-7014,34279,9,66,0.6953236675515622,0.39408967589486277,0.0,0.0,root,0.0
platen_megahit_metabat_bin-6776,14670,5,14,0.6423312883435582,0.5353783231083845,0.0,0.0,root,0.0
platen_megahit_metabat_bin-2086,18639,6,20,0.23579591179784323,0.47304039916304524,0.0,0.0,root,0.0
platen_megahit_metabat_bin-0926,184154,1,226,0.9392084885476286,0.5441206816034406,0.63,0.0,k__Bacteria,0.0
platen_megahit_metabat_bin-5704,15335,2,14,0.825366807955657,0.5230518421910662,0.0,0.0,root,0.0
platen_megahit_metabat_bin-1346,243559,44,346,0.8593318251429838,0.4006996251421627,0.0,0.0,root,0.0
platen_megahit_metabat_bin-9338,28176,3,16,0.8100511073253833,0.5612223168654173,0.0,0.0,root,0.0
platen_megahit_metabat_bin-9655,17596,3,18,0.5807001591270743,0.5993975903614458,0.0,0.0,root,0.0
platen_megahit_metabat_bin-5855,18216,3,23,0.847167325428195,0.5505599472990778,0.0,0.0,root,0.0
platen_megahit_metabat_bin-7315,12779,2,9,0.6512246654667815,0.42452461068941233,0.0,0.0,root,0.0
platen_megahit_metabat_bin-8915,15036,7,11,0.8573423782920989,0.6207768023410482,0.0,0.0,root,0.0
platen_megahit_metabat_bin-4630,10985,2,13,0.8526172052799271,0.5543923532089212,0.0,0.0,root,0.0
platen_megahit_metabat_bin-2695,32184,6,41,0.7078672632363907,0.5866268953517275,0.0,0.0,root,0.0
platen_megahit_metabat_bin-8782,28644,5,29,0.7392124005027231,0.3353931015221338,0.0,0.0,root,0.0
platen_megahit_metabat_bin-8223,10776,4,13,0.5837973273942093,0.3598737936154417,0.0,0.0,root,0.0
platen_megahit_metabat_bin-3129,14468,5,11,0.48458667403925904,0.4561100359413879,0.0,0.0,root,0.0
platen_megahit_metabat_bin-5487,10912,6,10,0.5696480938416423,0.5519611436950147,0.0,0.0,root,0.0
platen_megahit_metabat_bin-6207,12811,2,14,0.6430411365233003,0.5321988915775505,0.0,0.0,root,0.0
platen_megahit_metabat_bin-8091,10865,4,13,0.48099401748734466,0.4369075011504832,0.0,0.0,root,0.0
platen_megahit_metabat_bin-5456,20411,5,18,0.8091225319680564,0.4148253392778404,0.0,0.0,root,0.0
platen_megahit_metabat_bin-9319,10498,4,11,0.6344065536292627,0.47971042103257766,0.0,0.0,root,0.0
platen_megahit_metabat_bin-7991,816575,337,843,0.7319768545448979,0.6655812387104675,24.48,0.0,k__Bacteria,0.0
