,length,nb_contigs,nb_proteins,coding_density,GC,completeness,contamination,taxo:checkm,strain_heterogeneity
Lainio_2_megahit_metabat_bin-2529,10161,1,11,0.8213758488337762,0.6107666568251157,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2068,13408,3,9,0.7880369928400954,0.6302953460620525,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2539,4008190,633,3520,0.8114555447720792,0.3416554604447394,56.14,6.9,k__Bacteria,100.0
Lainio_2_megahit_metabat_bin-1518,21281,7,17,0.591090644236643,0.4763403975377097,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-0392,45274,12,44,0.8394221849184963,0.4983655077969696,0.7,0.0,k__Bacteria,0.0
Lainio_2_megahit_metabat_bin-1332,5623975,404,5293,0.8905190723642975,0.7082168750750136,95.21,2.24,o__Rhodospirillales,28.57
Lainio_2_megahit_metabat_bin-3214,21800,12,24,0.7849541284403669,0.6458715596330276,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-1958,100477,40,108,0.7015635419051126,0.38005712750181636,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-3291,21931,10,25,0.7065341297706443,0.4007113218731476,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-0634,16811,9,22,0.6167390399143418,0.2550115995479151,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2731,145560,53,89,0.5037922506183017,0.5238320967298709,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-1244,22576,5,26,0.863483345145287,0.3684443656980865,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2151,11559,3,8,0.28860628082014017,0.38394324768578597,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-3047,19277,1,9,0.9468278259065207,0.5032422057374073,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2723,48929,19,47,0.6846246602219542,0.5262932003515298,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2199,16563,7,16,0.7413512044919399,0.46531425466401016,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-2315,114851,26,172,0.8418472629755074,0.4006060025598384,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-1393,10171,4,10,0.6049552649690296,0.559335365254154,0.0,0.0,root,0.0
Lainio_2_megahit_metabat_bin-0804,19695,2,20,0.9054074638233054,0.4384869256156385,0.0,0.0,root,0.0
