,length,nb_contigs,nb_proteins,coding_density,GC,completeness,contamination,taxo:checkm,strain_heterogeneity
Orbro_4_megahit_metabat_bin-6198,29264,13,29,0.6705508474576272,0.5256971022416621,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4319,12899,3,17,0.7609892239708504,0.46143111869137143,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2842,26875,5,27,0.748353488372093,0.39854883720930234,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3263,36419,2,52,0.9113924050632911,0.3520964331804827,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6346,24851,8,27,0.7645165184499618,0.6059313508510724,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4012,46798,4,71,0.9308090089320057,0.4106585751527843,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0038,82670,37,90,0.6856054191363251,0.570944719970969,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-1181,13935,3,13,0.33864370290635093,0.5997129529960531,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6490,660083,75,892,0.8581466270150875,0.3429280863164178,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-8008,19441,7,21,0.780206779486652,0.6235790340003087,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2595,372028,89,409,0.7783285129076306,0.3483205565172514,2.04,0.5,k__Archaea,0.0
Orbro_4_megahit_metabat_bin-0145,10754,3,14,0.8349451366933234,0.33615398921331596,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6983,13590,4,14,0.8346578366445916,0.5710816777041943,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0056,27335,13,33,0.6879092738247667,0.6939454911285897,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5930,30907,9,22,0.6728572815219853,0.41323971915747243,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7506,76530,17,78,0.8290866326930616,0.5436168822683914,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5557,15417,8,12,0.6978011286242459,0.5911007329571253,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0701,10474,5,5,0.20479282031697538,0.33807523391254535,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5427,19825,9,20,0.7582849936948297,0.5256998738965952,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-1119,42124,6,70,0.803484949197607,0.538719020036084,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2816,14548,7,10,0.6108056090184217,0.4053478141325268,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-8094,20401,7,25,0.7368756433508161,0.5158570658301064,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2016,22067,12,17,0.5216386459419042,0.40467666651561157,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3949,13305,5,8,0.31634723788049607,0.4613303269447576,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3508,48170,10,31,0.7431804027402948,0.5995640440107951,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3978,62269,17,65,0.7946490227882252,0.5717772888596252,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6423,20368,6,25,0.8561959937156324,0.3846229379418696,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4096,171550,20,240,0.9095832118915768,0.3886796852229671,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-8137,18403,6,16,0.5992501222626746,0.47242297451502474,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0374,78960,18,104,0.8440349544072948,0.43530901722391085,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0125,302579,48,298,0.8199114941882947,0.426870337994375,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3286,41649,9,41,0.7909673701649499,0.5129294821004106,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3045,10212,6,4,0.05405405405405406,0.2572463768115942,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-unbinned,185697270,86216,187299,0.6049344344157563,0.4936342198245564,,,,
Orbro_4_megahit_metabat_bin-8123,38510,7,49,0.7903142041028305,0.5035055829654635,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6958,31532,10,35,0.737060763668654,0.29144995560065967,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7722,10389,5,6,0.5659832515160266,0.5047646549234768,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0356,122990,11,140,0.8188470607366453,0.48179526790796,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0358,85007,17,81,0.790170221275895,0.566223958026986,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-1938,14009,7,13,0.6441573274323649,0.5753444214433578,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3626,17956,7,15,0.5461684116729784,0.40398752506126084,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2196,31942,5,49,0.7106004633398034,0.6593200175317764,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6100,31741,12,36,0.6870293941589742,0.6633061340222425,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3511,15753,9,11,0.3698343172729004,0.7271630800482448,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0076,2844965,499,2566,0.8401590177735051,0.5987321460896707,69.83,2.59,k__Bacteria,0.0
Orbro_4_megahit_metabat_bin-5433,10303,3,12,0.7390080559060468,0.3415510045617781,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5664,27998,4,33,0.8653475248232017,0.6475462533038074,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6130,23946,7,28,0.8095715359559008,0.45615134051616135,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7530,24450,9,38,0.7377914110429448,0.5973824130879346,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0540,197198,41,221,0.7915394679459223,0.4221340987231108,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4099,13239,3,8,0.8692499433491956,0.5649218218898708,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0550,11736,6,14,0.7203476482617587,0.606509884117246,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-8081,13853,3,11,0.797155850718256,0.5683967371688443,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7101,28056,12,33,0.7707442258340462,0.343812375249501,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0788,57123,20,39,0.64334856362586,0.4583617807187998,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6417,31774,15,30,0.6293825140051614,0.34994020268143766,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4760,12839,6,11,0.5544824363268167,0.3314121037463977,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-8324,68802,14,75,0.8704107438737246,0.596479753495538,0.43,0.0,k__Archaea,0.0
Orbro_4_megahit_metabat_bin-1883,16147,6,9,0.6558493837864618,0.649904006936273,4.09,0.8,k__Bacteria,80.0
Orbro_4_megahit_metabat_bin-2406,52271,23,53,0.7230395439153642,0.5378699470069446,3.64,0.0,k__Bacteria,0.0
Orbro_4_megahit_metabat_bin-0435,17127,8,18,0.7241198108250131,0.44753897355053424,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-3258,507712,49,539,0.8964334110676919,0.5158298405395184,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4011,182682,55,199,0.756494892764476,0.5827831970309062,5.62,0.0,k__Bacteria,0.0
Orbro_4_megahit_metabat_bin-4006,19624,7,22,0.5977374643293926,0.5407664084794129,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7646,20644,6,39,0.7850222825033908,0.5814280178260027,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4146,13518,5,21,0.7802929427430093,0.7191892291759135,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7090,10441,1,20,0.9148548989560387,0.5135523417297194,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4677,14931,3,13,0.7235282298573438,0.42575848904962826,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-6971,12666,6,14,0.7015632401705353,0.6353229117321965,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5011,19762,5,32,0.7839287521505921,0.30720574840603176,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2471,24687,11,27,0.5241220075343298,0.35763762304046665,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4569,24398,10,27,0.810681203377326,0.6013607672760062,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-7633,11056,4,11,0.6544862518089725,0.6411903039073806,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4726,34438,4,23,0.8589348974969511,0.6041001219583019,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-4900,27136,2,23,0.8299307193396226,0.6098909198113207,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5944,359149,57,364,0.8631320148462059,0.4613182829410635,4.78,0.43,k__Archaea,0.0
Orbro_4_megahit_metabat_bin-6650,154181,32,177,0.7130450574324981,0.44285612364688254,5.42,0.0,k__Bacteria,0.0
Orbro_4_megahit_metabat_bin-1194,34517,16,40,0.8039516759857461,0.6255758032273951,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-0328,16733,6,16,0.42741887288591407,0.3479949799796809,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5564,23210,1,24,0.9690219732873762,0.4156828953037484,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-2439,110700,44,168,0.7664227642276423,0.604263775971093,0.0,0.0,root,0.0
Orbro_4_megahit_metabat_bin-5422,27679,5,11,0.6341630839264424,0.383828895552585,0.0,0.0,root,0.0
